Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
юр. лицо,списание средств,3486.48,наличный,Могилев,Белинвестбанк-FLTT-151,26-09-2021,20:59:04,успешно,нет,0.0
юр. лицо,получение средств,2800.29,наличный,Витебск,Приорбанк-SVMD-538,21-01-2024,12:41:24,успешно,нет,0.0
юр. лицо,списание средств,1480.89,безналичный,Могилев,Приорбанк-IQVJ-207,06-06-2021,06:16:13,неправильный ввод пин-кода,да,24.96
юр. лицо,получение средств,3697.39,наличный,Могилев,Беларусбанк-YPUU-940,02-05-2004,13:27:09,успешно,нет,0.0
юр. лицо,получение средств,1560.41,наличный,Брест,Белинвестбанк-KTYP-565,06-09-2017,03:57:30,успешно,нет,0.0
юр. лицо,списание средств,516.83,наличный,Витебск,Беларусбанк-DFML-561,16-05-2020,01:19:18,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,1947.44,безналичный,Гродно,Беларусбанк-UTFH-923,16-09-2014,23:12:54,успешно,нет,0.0
юр. лицо,списание средств,4238.72,наличный,Минск,МаксБанк-XAFM-237,08-05-2023,01:59:46,недостаточно средств,да,163.69
юр. лицо,списание средств,4030.52,наличный,Гродно,Белинвестбанк-NZEM-342,23-03-2003,06:23:40,недостаточно средств,нет,0.0
юр. лицо,получение средств,3758.01,безналичный,Витебск,Беларусбанк-KFKN-621,26-11-2001,02:46:49,успешно,нет,0.0
юр. лицо,получение средств,4813.93,наличный,Минск,Беларусбанк-TDFU-695,02-05-2017,21:51:41,успешно,нет,0.0
юр. лицо,получение средств,371.88,наличный,Гродно,БелАгропромбанк-FBUV-447,25-12-2022,12:50:48,успешно,нет,0.0
юр. лицо,получение средств,3292.9,безналичный,Витебск,МаксБанк-EXYE-382,10-07-2021,01:26:48,успешно,нет,0.0
юр. лицо,списание средств,4193.66,безналичный,Брест,Беларусбанк-PCBT-329,12-06-2015,02:46:51,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,2049.96,наличный,Минск,МаксБанк-FBMU-974,12-06-2003,12:27:57,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,3185.13,безналичный,Гомель,Беларусбанк-ZFBC-832,25-12-2022,03:00:05,успешно,нет,0.0
юр. лицо,получение средств,911.12,наличный,Брест,МаксБанк-YTMX-924,30-09-2019,06:56:43,успешно,нет,0.0
юр. лицо,получение средств,1498.26,наличный,Витебск,Белинвестбанк-DBWO-100,24-01-2011,16:21:58,успешно,нет,0.0
юр. лицо,списание средств,4940.44,наличный,Минск,Приорбанк-CVFL-770,02-09-2002,06:32:29,неправильный ввод пин-кода,да,224.41
юр. лицо,получение средств,4093.72,безналичный,Могилев,БелАгропромбанк-WCOC-956,31-08-2024,13:42:36,успешно,нет,0.0
юр. лицо,получение средств,826.68,безналичный,Минск,БелАгропромбанк-MLDQ-008,16-02-2006,10:02:55,успешно,нет,0.0
юр. лицо,списание средств,4522.33,безналичный,Брест,МаксБанк-JLNK-176,31-12-2017,12:23:35,недостаточно средств,да,246.26
юр. лицо,списание средств,2350.82,безналичный,Минск,Белинвестбанк-QLGK-623,08-06-2006,04:18:45,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,3485.73,наличный,Гродно,Беларусбанк-DJFR-823,22-08-2015,13:05:59,успешно,нет,0.0
юр. лицо,получение средств,100.05,безналичный,Минск,БелАгропромбанк-XETS-172,24-07-2000,08:05:36,успешно,нет,0.0
юр. лицо,получение средств,2690.72,наличный,Брест,БелАгропромбанк-VXBC-111,12-04-2011,05:52:03,успешно,нет,0.0
юр. лицо,получение средств,528.69,безналичный,Минск,МаксБанк-XCGJ-507,03-04-2014,00:27:35,успешно,нет,0.0
юр. лицо,получение средств,4644.98,безналичный,Гомель,Беларусбанк-RNYM-077,22-05-2020,14:30:49,успешно,нет,0.0
юр. лицо,получение средств,4948.26,наличный,Минск,БелАгропромбанк-EACM-932,17-04-2001,02:40:21,успешно,нет,0.0
юр. лицо,получение средств,4892.9,наличный,Минск,Приорбанк-JFLO-993,13-04-2004,13:22:50,успешно,нет,0.0
юр. лицо,списание средств,3979.9,наличный,Минск,БелАгропромбанк-JGXA-997,20-09-2008,06:26:15,успешно,нет,0.0
юр. лицо,получение средств,495.51,наличный,Могилев,МаксБанк-NLNW-953,13-11-2022,09:49:51,успешно,нет,0.0
юр. лицо,списание средств,1695.12,наличный,Витебск,Беларусбанк-MYQM-976,25-05-2022,13:27:08,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,17.09,безналичный,Гомель,МаксБанк-KMWL-033,01-09-2023,10:56:18,успешно,да,1.15
юр. лицо,получение средств,586.76,наличный,Могилев,МаксБанк-NHXF-026,03-04-2003,08:17:15,успешно,нет,0.0
юр. лицо,получение средств,537.4,безналичный,Гомель,Приорбанк-WWKY-567,23-09-2020,14:01:36,успешно,нет,0.0
юр. лицо,списание средств,308.9,наличный,Могилев,МаксБанк-MQCC-446,26-08-2002,01:51:03,недостаточно средств,нет,0.0
юр. лицо,получение средств,4943.03,наличный,Брест,БелАгропромбанк-QMZA-271,08-11-2017,19:06:43,успешно,нет,0.0
юр. лицо,получение средств,2813.22,наличный,Могилев,Приорбанк-PBMZ-875,26-07-2016,05:00:50,успешно,нет,0.0
юр. лицо,получение средств,2640.21,наличный,Брест,Приорбанк-XHFV-669,10-09-2005,03:15:08,успешно,нет,0.0
юр. лицо,получение средств,4368.26,безналичный,Витебск,БелАгропромбанк-VYWH-902,17-05-2002,23:02:34,успешно,нет,0.0
юр. лицо,списание средств,1122.09,безналичный,Гродно,Приорбанк-IMDE-868,03-09-2008,23:13:08,недостаточно средств,нет,0.0
юр. лицо,получение средств,1935.91,безналичный,Гомель,Беларусбанк-NVLQ-577,10-06-2024,06:06:41,успешно,нет,0.0
юр. лицо,списание средств,4719.73,наличный,Гомель,МаксБанк-RFYW-199,29-05-2002,22:42:03,недостаточно средств,нет,0.0
юр. лицо,получение средств,2593.47,наличный,Брест,БелАгропромбанк-NEWT-457,29-06-2005,01:15:12,успешно,нет,0.0
юр. лицо,получение средств,3361.6,наличный,Гродно,Белинвестбанк-XOQW-538,06-02-2021,17:39:15,успешно,нет,0.0
юр. лицо,списание средств,1075.6,безналичный,Могилев,МаксБанк-GCCH-620,25-12-2002,01:10:43,успешно,нет,0.0
юр. лицо,списание средств,4231.33,безналичный,Могилев,МаксБанк-BAES-252,03-11-2009,03:40:33,успешно,да,361.01
юр. лицо,списание средств,2473.11,наличный,Витебск,Белинвестбанк-GCIZ-817,01-07-2017,11:21:57,успешно,да,102.83
юр. лицо,получение средств,2010.53,безналичный,Гомель,Приорбанк-TECA-916,20-06-2011,22:36:37,успешно,нет,0.0
юр. лицо,получение средств,3960.8,безналичный,Витебск,Белинвестбанк-SOUB-861,18-01-2004,06:22:31,успешно,нет,0.0
юр. лицо,получение средств,3739.7,безналичный,Витебск,Приорбанк-QSVD-497,17-11-2006,03:55:54,успешно,нет,0.0
юр. лицо,списание средств,47.95,безналичный,Гродно,Беларусбанк-NKGO-936,17-01-2013,06:03:34,недостаточно средств,нет,0.0
юр. лицо,списание средств,14.88,безналичный,Брест,Приорбанк-JLSC-202,06-12-2021,00:17:39,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,2183.51,наличный,Витебск,Беларусбанк-XRYE-288,20-10-2015,17:18:40,успешно,да,141.12
юр. лицо,списание средств,1155.9,безналичный,Гродно,Белинвестбанк-DOSO-686,14-08-2012,20:55:44,недостаточно средств,нет,0.0
юр. лицо,списание средств,2344.58,безналичный,Гомель,Белинвестбанк-PYJY-806,22-01-2012,16:15:29,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,2300.87,наличный,Брест,Приорбанк-VBWE-383,03-04-2004,11:52:12,успешно,нет,0.0
юр. лицо,получение средств,4242.6,безналичный,Минск,Приорбанк-CLLA-306,01-06-2016,11:10:45,успешно,нет,0.0
юр. лицо,списание средств,4070.35,безналичный,Брест,Приорбанк-JXLH-691,09-10-2019,12:22:13,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,852.43,наличный,Гомель,Беларусбанк-YANB-961,16-01-2001,22:40:42,успешно,нет,0.0
юр. лицо,списание средств,326.25,наличный,Могилев,БелАгропромбанк-SOXP-111,12-05-2022,07:36:04,успешно,нет,0.0
юр. лицо,получение средств,1176.86,безналичный,Минск,Белинвестбанк-SJRA-914,04-05-2001,00:03:24,успешно,нет,0.0
юр. лицо,списание средств,4214.27,безналичный,Гродно,БелАгропромбанк-BBVA-767,05-01-2009,06:18:32,недостаточно средств,нет,0.0
юр. лицо,получение средств,853.53,безналичный,Минск,Беларусбанк-UIHJ-208,31-08-2011,12:50:43,успешно,нет,0.0
юр. лицо,списание средств,2700.14,наличный,Витебск,Беларусбанк-YXSK-505,25-05-2003,23:42:14,успешно,нет,0.0
юр. лицо,получение средств,3716.2,наличный,Гродно,БелАгропромбанк-GRVQ-637,06-02-2022,05:29:07,успешно,нет,0.0
юр. лицо,получение средств,2081.09,безналичный,Гродно,БелАгропромбанк-FRZT-346,14-05-2000,08:39:31,успешно,нет,0.0
юр. лицо,получение средств,4851.99,безналичный,Минск,Приорбанк-OXOQ-749,20-06-2022,23:07:31,успешно,нет,0.0
юр. лицо,списание средств,300.98,наличный,Гомель,Беларусбанк-WCHU-579,04-04-2023,18:26:15,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,4158.85,безналичный,Брест,МаксБанк-CVNU-240,07-05-2012,21:58:13,неправильный ввод пин-кода,да,138.24
юр. лицо,списание средств,3787.04,безналичный,Гомель,Белинвестбанк-KLDU-595,08-03-2015,02:42:48,успешно,да,64.05
юр. лицо,списание средств,4222.86,безналичный,Гомель,Приорбанк-WCQV-699,14-01-2019,05:54:04,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,2035.32,безналичный,Гродно,Белинвестбанк-KVQF-331,28-12-2021,17:16:18,успешно,нет,0.0
юр. лицо,списание средств,1808.64,наличный,Витебск,БелАгропромбанк-RPLO-458,26-04-2023,01:35:23,недостаточно средств,нет,0.0
юр. лицо,списание средств,2072.4,безналичный,Могилев,Беларусбанк-CATP-558,08-10-2024,13:00:50,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,2278.68,наличный,Брест,Беларусбанк-VWZN-618,02-12-2004,13:00:41,успешно,нет,0.0
юр. лицо,получение средств,1488.6,наличный,Гродно,МаксБанк-XVJU-380,06-09-2002,20:12:07,успешно,нет,0.0
юр. лицо,получение средств,4903.09,безналичный,Могилев,Приорбанк-ILRL-570,07-10-2005,02:56:12,успешно,нет,0.0
юр. лицо,списание средств,1607.15,безналичный,Минск,Беларусбанк-PKOA-161,31-10-2008,13:16:24,недостаточно средств,да,118.27
юр. лицо,получение средств,170.09,безналичный,Минск,МаксБанк-UZMJ-830,20-05-2004,20:56:55,успешно,нет,0.0
юр. лицо,получение средств,2495.9,наличный,Брест,БелАгропромбанк-YLUD-277,06-10-2018,01:43:29,успешно,нет,0.0
юр. лицо,получение средств,1126.03,безналичный,Могилев,БелАгропромбанк-RBST-470,20-01-2024,11:08:29,успешно,нет,0.0
юр. лицо,списание средств,1651.42,наличный,Витебск,Приорбанк-JMQW-919,18-08-2010,09:07:31,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,4929.2,наличный,Брест,Приорбанк-NJMG-794,15-02-2003,09:18:45,успешно,нет,0.0
юр. лицо,списание средств,523.51,наличный,Могилев,Белинвестбанк-LYPA-346,08-03-2005,11:36:13,успешно,нет,0.0
юр. лицо,получение средств,3992.15,наличный,Гродно,Беларусбанк-YUKE-789,04-07-2004,22:40:24,успешно,нет,0.0
юр. лицо,получение средств,1818.28,безналичный,Витебск,Приорбанк-PXZK-874,10-10-2011,04:36:08,успешно,нет,0.0
юр. лицо,получение средств,4709.9,безналичный,Минск,БелАгропромбанк-FMLL-067,23-06-2000,02:59:35,успешно,нет,0.0
юр. лицо,получение средств,1457.84,наличный,Брест,Приорбанк-ZCOB-605,04-06-2008,05:59:05,успешно,нет,0.0
юр. лицо,списание средств,2603.95,наличный,Гомель,Приорбанк-VAKO-271,29-12-2014,10:25:36,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,1979.37,безналичный,Гомель,Белинвестбанк-IVBF-039,11-09-2024,02:38:09,успешно,да,118.05
юр. лицо,списание средств,4197.27,безналичный,Могилев,Приорбанк-LXSZ-161,11-02-2018,10:32:45,неправильный ввод пин-кода,да,193.64
юр. лицо,получение средств,4589.27,безналичный,Брест,БелАгропромбанк-EENP-178,19-04-2018,09:10:56,успешно,нет,0.0
юр. лицо,получение средств,1843.89,наличный,Минск,Приорбанк-KCAK-848,23-12-2020,12:58:15,успешно,нет,0.0
юр. лицо,списание средств,847.97,безналичный,Гомель,БелАгропромбанк-SAOD-708,06-04-2004,22:28:48,успешно,да,71.68
юр. лицо,получение средств,4210.26,наличный,Могилев,Беларусбанк-PQMZ-804,09-04-2017,14:42:57,успешно,нет,0.0
юр. лицо,списание средств,4129.42,наличный,Минск,МаксБанк-JTTA-045,30-03-2018,03:35:41,недостаточно средств,нет,0.0
юр. лицо,списание средств,4059.22,наличный,Могилев,Приорбанк-HAWB-844,20-12-2013,12:04:26,успешно,нет,0.0
юр. лицо,получение средств,2054.36,наличный,Брест,Белинвестбанк-YXHX-389,17-09-2010,11:39:56,успешно,нет,0.0
юр. лицо,получение средств,2730.8,наличный,Гомель,Приорбанк-ZORI-749,20-11-2010,16:01:31,успешно,нет,0.0
юр. лицо,списание средств,3761.09,наличный,Витебск,Приорбанк-BZDQ-921,02-06-2009,00:52:03,недостаточно средств,нет,0.0
юр. лицо,списание средств,3875.79,безналичный,Брест,Приорбанк-BUYU-403,31-08-2018,02:10:48,успешно,да,259.45
юр. лицо,списание средств,882.49,безналичный,Витебск,БелАгропромбанк-DMET-799,24-04-2021,17:53:10,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,2224.63,наличный,Могилев,Приорбанк-VZJO-508,12-11-2009,16:35:02,успешно,нет,0.0
юр. лицо,получение средств,404.51,безналичный,Гомель,МаксБанк-HZQY-885,02-07-2004,09:02:32,успешно,нет,0.0
юр. лицо,списание средств,2544.12,безналичный,Минск,Приорбанк-XQQL-988,12-08-2012,17:17:20,неправильный ввод пин-кода,да,46.61
юр. лицо,получение средств,2472.09,безналичный,Гомель,МаксБанк-COSW-937,25-11-2002,10:47:00,успешно,нет,0.0
юр. лицо,списание средств,3814.6,безналичный,Гомель,Беларусбанк-BVHR-669,26-01-2001,21:18:26,успешно,да,354.29
юр. лицо,списание средств,2774.62,наличный,Гомель,Белинвестбанк-QUFV-444,24-01-2018,20:49:52,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,2627.45,безналичный,Брест,Беларусбанк-KJJU-198,29-04-2020,04:11:49,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,1137.67,безналичный,Гродно,Беларусбанк-XOEO-296,06-03-2012,07:43:03,успешно,нет,0.0
юр. лицо,получение средств,170.94,наличный,Минск,Белинвестбанк-EUPD-456,28-12-2009,12:45:14,успешно,нет,0.0
юр. лицо,получение средств,3722.46,наличный,Минск,МаксБанк-SCSQ-804,28-08-2010,23:52:15,успешно,нет,0.0
юр. лицо,списание средств,856.75,наличный,Витебск,МаксБанк-APAX-762,09-01-2021,07:27:42,успешно,нет,0.0
юр. лицо,получение средств,3461.89,наличный,Витебск,Приорбанк-TLNV-685,27-05-2002,04:53:52,успешно,нет,0.0
юр. лицо,списание средств,4383.42,наличный,Гродно,Приорбанк-YVYQ-480,20-08-2005,11:13:16,неправильный ввод пин-кода,да,97.42
юр. лицо,получение средств,1783.64,наличный,Гомель,Приорбанк-XNNJ-647,10-01-2012,12:05:55,успешно,нет,0.0
юр. лицо,получение средств,1820.47,безналичный,Минск,Белинвестбанк-LQEA-407,09-08-2022,23:00:00,успешно,нет,0.0
юр. лицо,списание средств,3408.71,безналичный,Брест,МаксБанк-CMWH-063,30-07-2001,05:26:37,недостаточно средств,нет,0.0
юр. лицо,получение средств,1790.66,наличный,Витебск,БелАгропромбанк-FTUB-440,24-02-2001,18:29:41,успешно,нет,0.0
юр. лицо,списание средств,3406.02,безналичный,Гродно,Приорбанк-UCPH-327,04-07-2012,23:41:36,недостаточно средств,нет,0.0
юр. лицо,списание средств,4225.84,наличный,Могилев,МаксБанк-ROVM-167,22-10-2007,13:52:50,успешно,да,203.29
юр. лицо,получение средств,3540.14,наличный,Гродно,Белинвестбанк-XFLP-727,15-03-2014,23:45:23,успешно,нет,0.0
юр. лицо,получение средств,2644.16,наличный,Минск,Приорбанк-XUMF-531,27-08-2003,17:44:03,успешно,нет,0.0
юр. лицо,получение средств,4752.18,наличный,Витебск,МаксБанк-FMKI-876,16-01-2023,11:19:03,успешно,нет,0.0
юр. лицо,получение средств,45.88,наличный,Гомель,Белинвестбанк-YNPM-006,16-09-2024,09:43:59,успешно,нет,0.0
юр. лицо,получение средств,4531.6,безналичный,Витебск,БелАгропромбанк-RSTI-253,27-08-2014,11:15:50,успешно,нет,0.0
юр. лицо,получение средств,1520.55,наличный,Брест,МаксБанк-MVLH-881,26-04-2019,18:14:39,успешно,нет,0.0
юр. лицо,списание средств,2971.58,наличный,Витебск,Беларусбанк-FFQP-020,30-05-2017,15:09:15,успешно,нет,0.0
юр. лицо,получение средств,786.57,наличный,Минск,Приорбанк-CFAZ-843,06-12-2010,02:09:44,успешно,нет,0.0
юр. лицо,получение средств,672.68,безналичный,Витебск,БелАгропромбанк-FADV-360,30-03-2014,19:12:34,успешно,нет,0.0
юр. лицо,списание средств,4498.94,наличный,Гомель,Беларусбанк-NFBX-681,05-07-2003,07:35:11,недостаточно средств,нет,0.0
юр. лицо,списание средств,2698.88,безналичный,Гродно,МаксБанк-LVLU-556,18-10-2020,04:40:00,недостаточно средств,нет,0.0
юр. лицо,получение средств,4249.83,безналичный,Могилев,Приорбанк-DHMN-779,06-03-2002,02:45:29,успешно,нет,0.0
юр. лицо,получение средств,330.94,безналичный,Брест,Белинвестбанк-PAGY-206,15-05-2010,00:51:51,успешно,нет,0.0
юр. лицо,получение средств,299.31,наличный,Брест,Приорбанк-UQTO-777,28-06-2014,00:49:53,успешно,нет,0.0
юр. лицо,списание средств,3916.69,безналичный,Витебск,МаксБанк-JHKH-640,15-04-2001,02:52:00,недостаточно средств,да,261.8
юр. лицо,списание средств,2576.78,наличный,Минск,Беларусбанк-LGVL-138,30-12-2006,15:41:23,недостаточно средств,да,240.56
юр. лицо,получение средств,1069.33,безналичный,Гомель,МаксБанк-OCDA-702,22-10-2005,18:20:11,успешно,нет,0.0
юр. лицо,получение средств,912.3,наличный,Гродно,Белинвестбанк-OOXV-797,24-04-2011,08:02:32,успешно,нет,0.0
юр. лицо,получение средств,1702.64,безналичный,Гомель,Приорбанк-FYOI-469,21-10-2023,04:07:43,успешно,нет,0.0
юр. лицо,получение средств,1832.66,наличный,Гомель,Беларусбанк-EJQV-721,04-07-2006,15:05:27,успешно,нет,0.0
юр. лицо,списание средств,790.36,безналичный,Могилев,БелАгропромбанк-XXDF-580,29-09-2001,04:44:22,успешно,да,44.6
юр. лицо,списание средств,2328.09,наличный,Брест,БелАгропромбанк-EQEJ-284,10-03-2011,01:15:39,недостаточно средств,нет,0.0
юр. лицо,получение средств,812.46,безналичный,Могилев,БелАгропромбанк-UWEM-593,08-07-2004,18:40:18,успешно,нет,0.0
юр. лицо,получение средств,59.01,безналичный,Могилев,МаксБанк-SFSS-261,06-11-2005,04:01:04,успешно,нет,0.0
юр. лицо,получение средств,234.01,наличный,Минск,Белинвестбанк-TMUL-936,02-12-2006,21:53:26,успешно,нет,0.0
юр. лицо,списание средств,947.76,наличный,Могилев,БелАгропромбанк-QPUQ-317,23-08-2017,01:15:26,успешно,нет,0.0
юр. лицо,получение средств,4559.34,наличный,Гомель,Беларусбанк-WRMJ-252,14-07-2016,21:33:14,успешно,нет,0.0
юр. лицо,получение средств,4395.92,безналичный,Гомель,БелАгропромбанк-OVWD-976,01-09-2019,22:02:26,успешно,нет,0.0
юр. лицо,получение средств,327.26,безналичный,Гродно,БелАгропромбанк-MREB-504,29-05-2011,12:06:43,успешно,нет,0.0
юр. лицо,списание средств,3753.35,наличный,Брест,БелАгропромбанк-VQYU-502,17-10-2008,06:56:54,неправильный ввод пин-кода,да,200.18
юр. лицо,списание средств,1429.61,наличный,Брест,Беларусбанк-TBQT-187,29-08-2004,11:57:24,успешно,нет,0.0
юр. лицо,списание средств,3366.75,наличный,Гродно,Приорбанк-PRAS-305,14-01-2021,23:25:57,неправильный ввод пин-кода,да,69.02
юр. лицо,получение средств,4313.53,наличный,Могилев,Приорбанк-HRSI-154,27-09-2018,11:07:21,успешно,нет,0.0
юр. лицо,получение средств,556.58,наличный,Витебск,Белинвестбанк-NRMR-750,01-06-2013,01:33:03,успешно,нет,0.0
юр. лицо,списание средств,1485.02,наличный,Брест,БелАгропромбанк-ROYK-386,14-09-2003,04:45:56,неправильный ввод пин-кода,да,42.31
юр. лицо,списание средств,3734.09,наличный,Могилев,Приорбанк-MWFZ-815,14-04-2018,17:56:56,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,2519.91,наличный,Витебск,МаксБанк-DEKJ-919,26-09-2003,20:35:49,успешно,нет,0.0
юр. лицо,списание средств,2626.67,безналичный,Гомель,Беларусбанк-PVYS-064,15-02-2012,16:14:19,успешно,нет,0.0
юр. лицо,получение средств,2833.57,наличный,Витебск,Белинвестбанк-QZWK-936,24-05-2021,01:01:14,успешно,нет,0.0
юр. лицо,списание средств,3822.25,безналичный,Брест,МаксБанк-OAPK-140,15-11-2008,13:10:52,неправильный ввод пин-кода,да,51.06
юр. лицо,получение средств,1941.78,наличный,Витебск,Приорбанк-ATOV-273,02-12-2024,03:56:20,успешно,нет,0.0
юр. лицо,получение средств,276.64,безналичный,Гомель,МаксБанк-ZYJT-753,18-12-2004,01:57:27,успешно,нет,0.0
юр. лицо,списание средств,465.24,наличный,Брест,Приорбанк-VKBJ-609,09-10-2010,05:25:28,неправильный ввод пин-кода,нет,0.0
