Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
юр. лицо,получение средств,4010.24,наличный,Брест,МаксБанк-OTHZ-638,01-04-2010,10:04:40,успешно,нет,0.0
юр. лицо,списание средств,4200.71,безналичный,Витебск,Беларусбанк-MTUN-136,25-08-2006,14:15:36,успешно,нет,0.0
юр. лицо,получение средств,4721.74,безналичный,Витебск,Белинвестбанк-TAEN-922,13-11-2007,23:30:30,успешно,нет,0.0
юр. лицо,списание средств,2937.85,наличный,Гродно,МаксБанк-SRAC-447,06-03-2004,16:47:09,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,1361.41,наличный,Могилев,МаксБанк-AHKF-596,07-07-2016,21:18:08,успешно,нет,0.0
юр. лицо,получение средств,1589.73,наличный,Минск,МаксБанк-CHZE-197,03-12-2017,18:19:47,успешно,нет,0.0
физ. лицо,списание средств,2728.74,безналичный,Минск,МаксБанк-USDP-869,06-08-2022,10:52:39,успешно,да,209.6
физ. лицо,получение средств,2686.41,наличный,Витебск,Белинвестбанк-BVIA-859,18-08-2000,22:50:22,успешно,нет,0.0
физ. лицо,списание средств,2418.48,безналичный,Минск,БелАгропромбанк-BRKG-333,27-04-2001,02:28:46,недостаточно средств,да,40.67
физ. лицо,получение средств,200.58,безналичный,Гомель,БелАгропромбанк-XIRN-447,02-07-2018,22:14:12,успешно,нет,0.0
физ. лицо,списание средств,159.97,наличный,Гродно,Белинвестбанк-UWDE-810,17-05-2015,13:15:29,успешно,да,10.87
физ. лицо,списание средств,2335.29,наличный,Гродно,МаксБанк-GDCY-216,25-09-2005,21:07:37,успешно,нет,0.0
физ. лицо,списание средств,3689.54,наличный,Витебск,Приорбанк-UZVB-834,14-01-2010,01:41:10,неправильный ввод пин-кода,да,353.71
физ. лицо,списание средств,4891.65,наличный,Минск,Приорбанк-CKMO-182,05-02-2021,11:20:23,успешно,нет,0.0
физ. лицо,списание средств,1904.15,наличный,Гродно,МаксБанк-SLDP-093,24-08-2007,04:37:25,недостаточно средств,да,122.74
юр. лицо,получение средств,3508.36,безналичный,Гомель,Белинвестбанк-GPSZ-408,13-10-2000,22:43:55,успешно,нет,0.0
юр. лицо,списание средств,2743.37,безналичный,Витебск,Беларусбанк-SASG-900,11-06-2001,22:50:38,неправильный ввод пин-кода,да,157.04
физ. лицо,получение средств,3117.09,наличный,Брест,Приорбанк-WDKG-833,13-09-2010,13:52:27,успешно,нет,0.0
физ. лицо,списание средств,2278.74,наличный,Гродно,Приорбанк-WQDF-652,17-02-2003,19:25:43,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,1358.03,безналичный,Минск,Белинвестбанк-IZUE-971,26-02-2006,20:12:57,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,2621.15,наличный,Витебск,Приорбанк-ZJAQ-819,18-06-2012,02:47:03,успешно,нет,0.0
юр. лицо,получение средств,4068.36,безналичный,Витебск,Белинвестбанк-MYSU-291,16-05-2021,18:43:34,успешно,нет,0.0
физ. лицо,получение средств,904.92,безналичный,Брест,МаксБанк-WFLT-373,31-10-2021,02:42:15,успешно,нет,0.0
физ. лицо,получение средств,2164.56,безналичный,Гомель,МаксБанк-HDYR-315,24-10-2005,01:33:11,успешно,нет,0.0
физ. лицо,списание средств,4374.02,наличный,Гомель,Беларусбанк-VUQY-967,03-05-2012,12:36:26,недостаточно средств,да,45.22
юр. лицо,получение средств,3662.76,безналичный,Минск,Приорбанк-WLCX-779,14-05-2009,16:17:31,успешно,нет,0.0
физ. лицо,списание средств,3682.61,наличный,Могилев,БелАгропромбанк-ZQUB-166,08-03-2017,11:21:24,неправильный ввод пин-кода,да,355.26
юр. лицо,списание средств,4280.98,безналичный,Гродно,Белинвестбанк-GWLT-364,26-02-2010,18:30:05,недостаточно средств,да,314.66
юр. лицо,получение средств,480.01,безналичный,Минск,Беларусбанк-QZAQ-645,25-11-2022,05:24:21,успешно,нет,0.0
физ. лицо,получение средств,3788.99,безналичный,Гродно,МаксБанк-AYBK-023,19-03-2001,11:28:47,успешно,нет,0.0
юр. лицо,получение средств,4981.44,наличный,Витебск,Беларусбанк-YAQO-237,25-09-2019,22:57:34,успешно,нет,0.0
юр. лицо,списание средств,2190.71,наличный,Могилев,Беларусбанк-KOVI-899,20-02-2006,19:38:16,неправильный ввод пин-кода,да,150.8
физ. лицо,списание средств,1806.81,наличный,Минск,Приорбанк-MKVQ-576,12-07-2021,23:23:20,недостаточно средств,да,98.56
юр. лицо,списание средств,1225.82,наличный,Гродно,МаксБанк-RGFU-593,22-07-2018,23:51:51,недостаточно средств,да,73.86
юр. лицо,получение средств,925.17,безналичный,Гомель,БелАгропромбанк-KXUT-911,12-12-2022,22:40:58,успешно,нет,0.0
физ. лицо,получение средств,2973.59,наличный,Гомель,Беларусбанк-WNPA-185,19-02-2024,19:32:04,успешно,нет,0.0
физ. лицо,получение средств,4512.42,наличный,Минск,БелАгропромбанк-DYHQ-566,23-05-2006,02:46:15,успешно,нет,0.0
физ. лицо,списание средств,422.54,безналичный,Гродно,БелАгропромбанк-JHXY-965,14-11-2015,13:35:26,успешно,нет,0.0
юр. лицо,получение средств,2685.18,безналичный,Витебск,Беларусбанк-VOLA-109,11-04-2010,21:28:36,успешно,нет,0.0
физ. лицо,получение средств,3802.66,наличный,Могилев,Беларусбанк-WDPH-814,12-11-2002,23:46:55,успешно,нет,0.0
юр. лицо,списание средств,3085.87,безналичный,Гомель,Беларусбанк-GAYO-054,05-07-2007,22:53:23,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,633.08,безналичный,Могилев,Беларусбанк-DEIC-629,25-10-2000,04:39:54,недостаточно средств,да,47.66
юр. лицо,получение средств,1024.72,безналичный,Витебск,БелАгропромбанк-QBLB-863,29-04-2013,15:30:33,успешно,нет,0.0
физ. лицо,получение средств,596.32,безналичный,Витебск,МаксБанк-ASKH-532,24-05-2006,15:35:58,успешно,нет,0.0
физ. лицо,получение средств,2350.32,наличный,Гомель,БелАгропромбанк-WRXP-027,18-04-2008,07:27:37,успешно,нет,0.0
физ. лицо,списание средств,1139.7,безналичный,Гомель,МаксБанк-RRCX-559,16-06-2019,08:52:52,успешно,нет,0.0
юр. лицо,получение средств,325.33,безналичный,Минск,БелАгропромбанк-DCLD-681,30-03-2009,14:58:39,успешно,нет,0.0
юр. лицо,списание средств,3615.48,наличный,Брест,Белинвестбанк-TWZQ-776,01-03-2004,12:07:51,успешно,нет,0.0
физ. лицо,списание средств,965.45,наличный,Гомель,БелАгропромбанк-IZVI-172,03-11-2002,05:42:37,успешно,да,10.63
физ. лицо,получение средств,1377.34,наличный,Витебск,МаксБанк-BBJI-195,02-07-2010,05:08:42,успешно,нет,0.0
юр. лицо,получение средств,363.7,безналичный,Минск,БелАгропромбанк-LKFP-707,19-11-2013,18:24:55,успешно,нет,0.0
физ. лицо,получение средств,3910.63,безналичный,Брест,Беларусбанк-JGFV-131,13-09-2021,17:00:55,успешно,нет,0.0
юр. лицо,списание средств,4521.29,наличный,Брест,Беларусбанк-NTCF-605,27-03-2003,02:35:14,недостаточно средств,нет,0.0
физ. лицо,списание средств,4661.36,наличный,Гродно,МаксБанк-HKSZ-327,20-02-2010,11:15:29,недостаточно средств,да,328.71
юр. лицо,списание средств,2510.14,безналичный,Могилев,Приорбанк-AHOD-432,04-01-2023,14:33:29,неправильный ввод пин-кода,да,38.84
физ. лицо,получение средств,1857.14,безналичный,Брест,БелАгропромбанк-SXNE-165,25-11-2000,05:01:41,успешно,нет,0.0
физ. лицо,списание средств,2378.77,безналичный,Гомель,МаксБанк-FHCI-618,14-02-2007,22:29:12,недостаточно средств,нет,0.0
физ. лицо,получение средств,2832.64,безналичный,Гродно,Белинвестбанк-QANW-214,21-01-2022,16:56:38,успешно,нет,0.0
физ. лицо,списание средств,1566.7,безналичный,Могилев,БелАгропромбанк-UJCL-658,25-03-2003,08:13:57,недостаточно средств,да,141.46
юр. лицо,списание средств,1212.94,безналичный,Гродно,Белинвестбанк-DUJH-202,19-03-2011,01:25:51,недостаточно средств,нет,0.0
юр. лицо,получение средств,1183.44,наличный,Гродно,МаксБанк-JDDV-270,13-12-2011,05:34:01,успешно,нет,0.0
юр. лицо,списание средств,3560.69,безналичный,Гродно,БелАгропромбанк-YGJX-336,17-06-2013,15:17:57,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,4602.93,наличный,Минск,МаксБанк-ODXZ-816,06-07-2008,19:45:06,успешно,нет,0.0
физ. лицо,списание средств,4193.86,безналичный,Могилев,БелАгропромбанк-GLDZ-064,02-03-2008,21:47:45,недостаточно средств,да,261.37
физ. лицо,получение средств,1937.67,наличный,Могилев,Приорбанк-XMZM-969,16-08-2005,05:56:14,успешно,нет,0.0
физ. лицо,списание средств,1723.75,наличный,Витебск,Беларусбанк-VWGS-621,25-12-2024,03:22:11,неправильный ввод пин-кода,да,98.21
юр. лицо,получение средств,2435.01,безналичный,Гомель,БелАгропромбанк-OCEY-798,01-12-2011,15:54:56,успешно,нет,0.0
юр. лицо,списание средств,4001.47,безналичный,Могилев,МаксБанк-CBOB-321,22-07-2011,00:13:43,успешно,нет,0.0
физ. лицо,получение средств,4673.4,наличный,Минск,Беларусбанк-BJCX-849,11-08-2006,08:28:59,успешно,нет,0.0
юр. лицо,списание средств,2948.15,безналичный,Могилев,БелАгропромбанк-XIHV-179,09-06-2002,07:14:00,недостаточно средств,да,59.81
юр. лицо,списание средств,4864.45,безналичный,Минск,МаксБанк-OYTK-928,21-04-2023,11:55:55,неправильный ввод пин-кода,да,78.22
физ. лицо,списание средств,3728.64,наличный,Минск,Приорбанк-TDVW-007,05-02-2000,17:18:55,недостаточно средств,нет,0.0
юр. лицо,списание средств,2529.26,безналичный,Брест,Приорбанк-JFWK-337,30-04-2011,06:02:21,недостаточно средств,нет,0.0
физ. лицо,списание средств,4130.97,безналичный,Брест,МаксБанк-DCDJ-205,02-08-2017,05:19:40,недостаточно средств,да,386.03
физ. лицо,списание средств,4702.59,безналичный,Гомель,БелАгропромбанк-FAKL-087,24-05-2013,04:30:18,успешно,да,98.29
юр. лицо,списание средств,3486.48,наличный,Могилев,Белинвестбанк-FLTT-151,26-09-2021,20:59:04,успешно,нет,0.0
физ. лицо,получение средств,2659.4,наличный,Витебск,Приорбанк-JKJH-020,07-11-2016,22:34:03,успешно,нет,0.0
юр. лицо,получение средств,2800.29,наличный,Витебск,Приорбанк-SVMD-538,21-01-2024,12:41:24,успешно,нет,0.0
физ. лицо,получение средств,3124.11,наличный,Минск,БелАгропромбанк-ENVZ-306,12-11-2022,05:40:11,успешно,нет,0.0
юр. лицо,списание средств,1480.89,безналичный,Могилев,Приорбанк-IQVJ-207,06-06-2021,06:16:13,неправильный ввод пин-кода,да,24.96
юр. лицо,получение средств,3697.39,наличный,Могилев,Беларусбанк-YPUU-940,02-05-2004,13:27:09,успешно,нет,0.0
юр. лицо,получение средств,1560.41,наличный,Брест,Белинвестбанк-KTYP-565,06-09-2017,03:57:30,успешно,нет,0.0
юр. лицо,списание средств,516.83,наличный,Витебск,Беларусбанк-DFML-561,16-05-2020,01:19:18,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,3046.63,безналичный,Гомель,МаксБанк-ERQD-784,29-12-2021,07:48:42,успешно,нет,0.0
юр. лицо,получение средств,1947.44,безналичный,Гродно,Беларусбанк-UTFH-923,16-09-2014,23:12:54,успешно,нет,0.0
юр. лицо,списание средств,4238.72,наличный,Минск,МаксБанк-XAFM-237,08-05-2023,01:59:46,недостаточно средств,да,163.69
юр. лицо,списание средств,4030.52,наличный,Гродно,Белинвестбанк-NZEM-342,23-03-2003,06:23:40,недостаточно средств,нет,0.0
юр. лицо,получение средств,3758.01,безналичный,Витебск,Беларусбанк-KFKN-621,26-11-2001,02:46:49,успешно,нет,0.0
юр. лицо,получение средств,4813.93,наличный,Минск,Беларусбанк-TDFU-695,02-05-2017,21:51:41,успешно,нет,0.0
юр. лицо,получение средств,371.88,наличный,Гродно,БелАгропромбанк-FBUV-447,25-12-2022,12:50:48,успешно,нет,0.0
юр. лицо,получение средств,3292.9,безналичный,Витебск,МаксБанк-EXYE-382,10-07-2021,01:26:48,успешно,нет,0.0
физ. лицо,списание средств,2146.59,наличный,Гродно,БелАгропромбанк-DNNS-920,10-05-2016,19:18:11,успешно,нет,0.0
юр. лицо,списание средств,4193.66,безналичный,Брест,Беларусбанк-PCBT-329,12-06-2015,02:46:51,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,2010.4,безналичный,Брест,Беларусбанк-XDCL-126,25-07-2003,15:49:04,недостаточно средств,да,98.16
физ. лицо,получение средств,247.72,наличный,Брест,Белинвестбанк-JUTB-666,18-12-2003,00:58:19,успешно,нет,0.0
юр. лицо,списание средств,2049.96,наличный,Минск,МаксБанк-FBMU-974,12-06-2003,12:27:57,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,2860.95,безналичный,Могилев,Белинвестбанк-YRZU-796,18-05-2003,01:30:25,успешно,нет,0.0
физ. лицо,списание средств,955.69,безналичный,Гомель,Приорбанк-AIFA-217,30-11-2011,07:51:02,успешно,нет,0.0
физ. лицо,списание средств,117.28,безналичный,Минск,МаксБанк-WCDP-724,18-07-2012,20:55:02,неправильный ввод пин-кода,да,5.56
физ. лицо,списание средств,3205.46,безналичный,Витебск,МаксБанк-ZXAB-184,15-08-2011,13:06:35,недостаточно средств,нет,0.0
юр. лицо,получение средств,3185.13,безналичный,Гомель,Беларусбанк-ZFBC-832,25-12-2022,03:00:05,успешно,нет,0.0
физ. лицо,получение средств,3936.96,наличный,Брест,БелАгропромбанк-JJAJ-584,04-07-2011,01:36:52,успешно,нет,0.0
физ. лицо,получение средств,1679.32,безналичный,Гомель,Беларусбанк-XFUA-077,30-05-2002,21:31:51,успешно,нет,0.0
физ. лицо,списание средств,110.01,наличный,Гомель,Белинвестбанк-NARM-174,27-06-2005,07:45:07,неправильный ввод пин-кода,да,10.35
физ. лицо,списание средств,3087.07,безналичный,Минск,БелАгропромбанк-ODTC-133,14-03-2004,03:16:15,недостаточно средств,да,149.41
юр. лицо,получение средств,911.12,наличный,Брест,МаксБанк-YTMX-924,30-09-2019,06:56:43,успешно,нет,0.0
юр. лицо,получение средств,1498.26,наличный,Витебск,Белинвестбанк-DBWO-100,24-01-2011,16:21:58,успешно,нет,0.0
физ. лицо,списание средств,2390.72,наличный,Гродно,МаксБанк-XUSR-747,07-08-2000,07:37:57,неправильный ввод пин-кода,да,98.11
физ. лицо,получение средств,1784.67,безналичный,Минск,МаксБанк-GGBC-004,14-11-2007,15:25:01,успешно,нет,0.0
физ. лицо,списание средств,3650.09,безналичный,Минск,БелАгропромбанк-NOKO-761,04-09-2022,17:47:42,неправильный ввод пин-кода,да,120.78
физ. лицо,получение средств,2558.46,безналичный,Могилев,Приорбанк-KZDR-445,23-10-2011,00:40:35,успешно,нет,0.0
физ. лицо,получение средств,3890.89,наличный,Могилев,Приорбанк-BJHT-930,01-04-2022,06:37:58,успешно,нет,0.0
физ. лицо,получение средств,780.78,безналичный,Минск,Приорбанк-HBCG-764,08-12-2016,21:16:46,успешно,нет,0.0
физ. лицо,получение средств,3434.96,наличный,Гомель,Приорбанк-MCFS-171,26-06-2013,00:53:59,успешно,нет,0.0
физ. лицо,списание средств,2915.3,наличный,Брест,Приорбанк-UJQW-380,07-12-2014,13:45:37,недостаточно средств,нет,0.0
физ. лицо,списание средств,870.92,безналичный,Гродно,Белинвестбанк-LOXI-497,07-04-2001,09:17:33,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,681.89,безналичный,Гродно,Приорбанк-OQCW-856,20-08-2018,21:41:52,неправильный ввод пин-кода,да,67.39
физ. лицо,списание средств,67.64,безналичный,Минск,Белинвестбанк-XEGG-159,18-07-2024,23:09:25,недостаточно средств,нет,0.0
юр. лицо,списание средств,4940.44,наличный,Минск,Приорбанк-CVFL-770,02-09-2002,06:32:29,неправильный ввод пин-кода,да,224.41
юр. лицо,получение средств,4093.72,безналичный,Могилев,БелАгропромбанк-WCOC-956,31-08-2024,13:42:36,успешно,нет,0.0
физ. лицо,списание средств,3762.06,безналичный,Гомель,МаксБанк-WVNL-660,29-04-2021,21:12:48,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,2813.1,наличный,Витебск,БелАгропромбанк-WYOO-080,30-05-2001,23:11:21,недостаточно средств,да,38.47
физ. лицо,списание средств,4847.53,безналичный,Гомель,Беларусбанк-ANCZ-946,05-03-2017,05:42:34,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,826.68,безналичный,Минск,БелАгропромбанк-MLDQ-008,16-02-2006,10:02:55,успешно,нет,0.0
физ. лицо,списание средств,2095.18,наличный,Брест,Беларусбанк-XGHE-106,16-04-2010,01:29:36,недостаточно средств,нет,0.0
юр. лицо,списание средств,4522.33,безналичный,Брест,МаксБанк-JLNK-176,31-12-2017,12:23:35,недостаточно средств,да,246.26
физ. лицо,получение средств,4668.4,наличный,Минск,Белинвестбанк-EJCU-407,31-12-2022,13:17:05,успешно,нет,0.0
юр. лицо,списание средств,2350.82,безналичный,Минск,Белинвестбанк-QLGK-623,08-06-2006,04:18:45,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,1817.09,безналичный,Гомель,Приорбанк-IVKM-716,09-12-2017,15:48:03,недостаточно средств,нет,0.0
физ. лицо,получение средств,833.42,безналичный,Гродно,МаксБанк-LOZN-642,01-02-2024,07:29:20,успешно,нет,0.0
юр. лицо,получение средств,3485.73,наличный,Гродно,Беларусбанк-DJFR-823,22-08-2015,13:05:59,успешно,нет,0.0
физ. лицо,получение средств,4812.45,безналичный,Гродно,Белинвестбанк-AZUE-224,25-04-2017,11:12:56,успешно,нет,0.0
физ. лицо,получение средств,1444.85,безналичный,Брест,МаксБанк-SOZY-227,20-04-2004,02:18:58,успешно,нет,0.0
физ. лицо,получение средств,1727.75,безналичный,Брест,БелАгропромбанк-FXEH-242,21-01-2013,11:47:21,успешно,нет,0.0
физ. лицо,списание средств,3128.26,наличный,Гомель,Белинвестбанк-QRHU-489,03-02-2004,19:24:16,успешно,да,265.11
физ. лицо,списание средств,3150.66,наличный,Минск,БелАгропромбанк-GSVB-999,12-09-2017,13:21:23,недостаточно средств,да,168.96
физ. лицо,списание средств,443.4,наличный,Брест,Белинвестбанк-GRCO-578,03-07-2009,07:15:36,недостаточно средств,нет,0.0
юр. лицо,получение средств,100.05,безналичный,Минск,БелАгропромбанк-XETS-172,24-07-2000,08:05:36,успешно,нет,0.0
юр. лицо,получение средств,2690.72,наличный,Брест,БелАгропромбанк-VXBC-111,12-04-2011,05:52:03,успешно,нет,0.0
юр. лицо,получение средств,528.69,безналичный,Минск,МаксБанк-XCGJ-507,03-04-2014,00:27:35,успешно,нет,0.0
физ. лицо,списание средств,2840.68,наличный,Минск,Беларусбанк-GYMW-394,11-12-2004,19:12:22,недостаточно средств,да,238.18
юр. лицо,получение средств,4644.98,безналичный,Гомель,Беларусбанк-RNYM-077,22-05-2020,14:30:49,успешно,нет,0.0
физ. лицо,получение средств,4312.51,наличный,Витебск,Беларусбанк-CHHO-510,05-07-2020,16:05:24,успешно,нет,0.0
физ. лицо,списание средств,1278.85,наличный,Витебск,МаксБанк-UEBH-536,26-01-2016,18:59:01,неправильный ввод пин-кода,да,105.43
физ. лицо,списание средств,1671.34,наличный,Могилев,Беларусбанк-GWLP-844,05-05-2019,06:24:19,неправильный ввод пин-кода,да,57.97
физ. лицо,списание средств,928.14,безналичный,Гомель,Белинвестбанк-EZGU-332,20-12-2015,15:04:12,успешно,нет,0.0
физ. лицо,получение средств,4604.87,безналичный,Могилев,Приорбанк-VOAQ-205,26-10-2022,19:25:32,успешно,нет,0.0
физ. лицо,получение средств,1890.55,наличный,Гомель,Белинвестбанк-GNCN-504,17-09-2013,23:36:10,успешно,нет,0.0
физ. лицо,списание средств,4150.92,наличный,Гомель,МаксБанк-SPXO-583,26-03-2022,06:31:32,недостаточно средств,нет,0.0
физ. лицо,получение средств,4879.28,безналичный,Гродно,Белинвестбанк-KCMD-378,02-03-2014,04:23:26,успешно,нет,0.0
физ. лицо,списание средств,3064.21,безналичный,Витебск,БелАгропромбанк-QQUV-582,23-06-2018,07:11:20,успешно,да,128.63
юр. лицо,получение средств,4948.26,наличный,Минск,БелАгропромбанк-EACM-932,17-04-2001,02:40:21,успешно,нет,0.0
юр. лицо,получение средств,4892.9,наличный,Минск,Приорбанк-JFLO-993,13-04-2004,13:22:50,успешно,нет,0.0
юр. лицо,списание средств,3979.9,наличный,Минск,БелАгропромбанк-JGXA-997,20-09-2008,06:26:15,успешно,нет,0.0
физ. лицо,списание средств,2036.61,наличный,Минск,БелАгропромбанк-OQUD-236,23-09-2024,17:50:28,недостаточно средств,нет,0.0
юр. лицо,получение средств,495.51,наличный,Могилев,МаксБанк-NLNW-953,13-11-2022,09:49:51,успешно,нет,0.0
физ. лицо,списание средств,4106.8,безналичный,Минск,БелАгропромбанк-EJTX-732,26-08-2012,15:01:14,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,1695.12,наличный,Витебск,Беларусбанк-MYQM-976,25-05-2022,13:27:08,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,3129.26,безналичный,Гомель,Приорбанк-BQQH-053,16-07-2008,12:47:22,успешно,нет,0.0
юр. лицо,списание средств,17.09,безналичный,Гомель,МаксБанк-KMWL-033,01-09-2023,10:56:18,успешно,да,1.15
физ. лицо,списание средств,1857.33,наличный,Брест,Беларусбанк-UDUD-106,15-07-2006,03:01:56,неправильный ввод пин-кода,да,29.97
физ. лицо,получение средств,2021.81,наличный,Гродно,БелАгропромбанк-VDNA-799,28-03-2016,03:59:34,успешно,нет,0.0
юр. лицо,получение средств,586.76,наличный,Могилев,МаксБанк-NHXF-026,03-04-2003,08:17:15,успешно,нет,0.0
юр. лицо,получение средств,537.4,безналичный,Гомель,Приорбанк-WWKY-567,23-09-2020,14:01:36,успешно,нет,0.0
физ. лицо,списание средств,91.86,безналичный,Минск,Белинвестбанк-WMBC-234,09-11-2012,22:57:44,успешно,да,3.84
физ. лицо,получение средств,4711.77,наличный,Гомель,Белинвестбанк-XSZH-552,11-02-2024,06:12:46,успешно,нет,0.0
физ. лицо,списание средств,1716.57,наличный,Гродно,Приорбанк-ZHIO-334,11-11-2016,14:25:27,недостаточно средств,да,153.65
физ. лицо,получение средств,1450.66,безналичный,Минск,МаксБанк-CFCQ-927,21-12-2017,02:05:43,успешно,нет,0.0
юр. лицо,списание средств,308.9,наличный,Могилев,МаксБанк-MQCC-446,26-08-2002,01:51:03,недостаточно средств,нет,0.0
юр. лицо,получение средств,4943.03,наличный,Брест,БелАгропромбанк-QMZA-271,08-11-2017,19:06:43,успешно,нет,0.0
физ. лицо,получение средств,1221.5,безналичный,Гродно,Белинвестбанк-AMLU-698,21-09-2010,08:37:50,успешно,нет,0.0
физ. лицо,списание средств,3728.28,наличный,Витебск,Белинвестбанк-UCZX-278,21-11-2008,16:38:52,недостаточно средств,да,182.48
физ. лицо,списание средств,1646.23,безналичный,Брест,БелАгропромбанк-EVMF-051,29-08-2021,16:49:40,успешно,нет,0.0
юр. лицо,получение средств,2813.22,наличный,Могилев,Приорбанк-PBMZ-875,26-07-2016,05:00:50,успешно,нет,0.0
физ. лицо,списание средств,2698.52,наличный,Минск,БелАгропромбанк-GWDQ-408,06-12-2002,11:50:04,недостаточно средств,да,232.65
юр. лицо,получение средств,2640.21,наличный,Брест,Приорбанк-XHFV-669,10-09-2005,03:15:08,успешно,нет,0.0
юр. лицо,получение средств,4368.26,безналичный,Витебск,БелАгропромбанк-VYWH-902,17-05-2002,23:02:34,успешно,нет,0.0
юр. лицо,списание средств,1122.09,безналичный,Гродно,Приорбанк-IMDE-868,03-09-2008,23:13:08,недостаточно средств,нет,0.0
физ. лицо,получение средств,4808.05,безналичный,Минск,Белинвестбанк-CFNE-843,11-05-2012,14:22:10,успешно,нет,0.0
юр. лицо,получение средств,1935.91,безналичный,Гомель,Беларусбанк-NVLQ-577,10-06-2024,06:06:41,успешно,нет,0.0
физ. лицо,получение средств,3668.06,безналичный,Гродно,БелАгропромбанк-IGOR-709,17-02-2017,05:06:45,успешно,нет,0.0
физ. лицо,получение средств,3770.24,наличный,Гомель,МаксБанк-MKIU-114,14-07-2008,14:17:00,успешно,нет,0.0
юр. лицо,списание средств,4719.73,наличный,Гомель,МаксБанк-RFYW-199,29-05-2002,22:42:03,недостаточно средств,нет,0.0
физ. лицо,списание средств,140.44,наличный,Гродно,Приорбанк-RRJK-530,25-07-2007,02:41:56,неправильный ввод пин-кода,да,2.23
юр. лицо,получение средств,2593.47,наличный,Брест,БелАгропромбанк-NEWT-457,29-06-2005,01:15:12,успешно,нет,0.0
физ. лицо,получение средств,901.7,наличный,Витебск,Белинвестбанк-OEBF-738,05-02-2005,05:31:23,успешно,нет,0.0
физ. лицо,получение средств,2659.49,наличный,Гомель,Приорбанк-ZNZZ-345,06-11-2000,09:09:37,успешно,нет,0.0
физ. лицо,списание средств,2463.87,наличный,Гомель,Приорбанк-BCIK-242,18-07-2017,11:59:38,неправильный ввод пин-кода,да,208.79
физ. лицо,списание средств,4871.05,безналичный,Гродно,МаксБанк-IZZI-938,26-07-2010,04:28:23,недостаточно средств,нет,0.0
физ. лицо,получение средств,380.02,наличный,Минск,Приорбанк-GDQG-503,03-07-2017,03:07:33,успешно,нет,0.0
юр. лицо,получение средств,3361.6,наличный,Гродно,Белинвестбанк-XOQW-538,06-02-2021,17:39:15,успешно,нет,0.0
